iter	RMSE
0	4751.78826
1	4513.593625
2	4322.456006
3	4159.244994
4	4010.697979
5	3895.66634
6	3795.688382
7	3703.100674
8	3628.756282
9	3564.793188
10	3490.635797
11	3444.2382
12	3408.265392
13	3380.274289
14	3350.844646
15	3326.068117
16	3304.718129
17	3263.69768
18	3226.22612
19	3211.534008
20	3186.808657
21	3175.976275
22	3152.224868
23	3143.558207
24	3136.419728
25	3119.365323
26	3111.988981
27	3106.225493
28	3100.67182
29	3095.825476
30	3091.328785
31	3088.792749
32	3076.269146
33	3071.129784
34	3068.712598
35	3059.157879
36	3056.528457
37	3048.427868
38	3046.895565
39	3043.552922
40	3037.157868
41	3034.952995
42	3032.783177
43	3030.878117
44	3025.573705
45	3024.066915
46	3022.400143
47	3021.090755
48	3020.034536
49	3016.213208
50	3013.051144
51	3011.946031
52	3010.618528
53	3009.392643
54	3006.622596
55	3005.186401
56	3002.015052
57	3001.238113
58	2999.912914
59	2998.63872
60	2997.73595
61	2995.565884
62	2994.993129
63	2993.89641
64	2992.017448
65	2991.476544
66	2990.967147
67	2989.168067
68	2988.273201
69	2987.172016
70	2985.158455
71	2984.328083
72	2983.719247
73	2982.962869
74	2981.598024
75	2980.734679
76	2980.119081
77	2978.818777
78	2977.558207
79	2976.016845
80	2975.219756
81	2974.692981
82	2973.797991
83	2973.291789
84	2971.578113
85	2970.617266
86	2969.885516
87	2969.54287
88	2968.926863
89	2968.289052
90	2967.281006
91	2966.656004
92	2966.171129
93	2964.951752
94	2963.854506
95	2963.089063
96	2962.492829
97	2961.870867
98	2961.448781
99	2960.77432
100	2960.198619
101	2959.653767
102	2958.902802
103	2958.61009
104	2958.121798
105	2957.513658
106	2956.686421
107	2956.10684
108	2955.474085
109	2955.050009
110	2954.509449
111	2954.067846
112	2953.523563
113	2953.060162
114	2952.351595
115	2951.760085
116	2951.118378
117	2950.354558
118	2949.901982
119	2949.368489
120	2948.723897
121	2948.108142
122	2947.65033
123	2946.936893
124	2946.737611
125	2946.304059
126	2945.828641
127	2945.671293
128	2944.980883
129	2944.579266
130	2943.997902
131	2943.692042
132	2943.108612
133	2942.645148
134	2942.365675
135	2941.969102
136	2941.408748
137	2940.439539
138	2939.844635
139	2939.664957
140	2939.224318
141	2938.975531
142	2938.787221
143	2938.635253
144	2938.303113
145	2937.970863
146	2937.543412
147	2936.918151
148	2936.367308
149	2936.208274
150	2935.847361
151	2935.406523
152	2935.062949
153	2934.729641
154	2934.429696
155	2934.277704
156	2933.964403
157	2933.632662
158	2933.235102
159	2932.945655
160	2932.664134
161	2932.414516
162	2931.860307
163	2931.633897
164	2931.281715
165	2931.032992
166	2930.825334
167	2930.513524
168	2930.287183
169	2930.086805
170	2929.711891
171	2929.577404
172	2929.368537
173	2929.002204
174	2928.889468
175	2928.567991
176	2928.429541
177	2928.108438
178	2927.870856
179	2927.257822
180	2926.856352
181	2926.673485
182	2926.479036
183	2925.998525
184	2925.63322
185	2925.396484
186	2925.215967
187	2924.834748
188	2924.696907
189	2924.381774
190	2924.255555
191	2924.017442
192	2923.644011
193	2923.443381
194	2923.231499
195	2922.772308
196	2922.488055
197	2922.386794
198	2922.335511
199	2922.072068
200	2921.77486
201	2921.58639
202	2921.510057
203	2921.310849
204	2921.207828
205	2920.635317
206	2920.499522
207	2920.347423
208	2920.068926
209	2919.825163
210	2919.641522
211	2919.387448
212	2919.121813
213	2918.957259
214	2918.786695
215	2918.51541
216	2918.327656
217	2917.988931
218	2917.737853
219	2917.557332
220	2917.12156
221	2916.938234
222	2916.869817
223	2916.667973
224	2916.291641
225	2916.083686
226	2915.948403
227	2915.783134
228	2915.397702
229	2915.29063
230	2915.118274
231	2914.967182
232	2914.698156
233	2914.55338
234	2914.515071
235	2914.222087
236	2914.109468
237	2913.594013
238	2913.498618
239	2913.375112
240	2913.186523
241	2913.059038
242	2912.888847
243	2912.803965
244	2912.705552
245	2912.518099
246	2912.396892
247	2912.07725
248	2911.924465
249	2911.802619
250	2911.678524
251	2911.348081
252	2911.179248
253	2910.782757
254	2910.435006
255	2910.197292
256	2909.997641
257	2909.889983
258	2909.784131
259	2909.618497
260	2909.481404
261	2909.186891
262	2908.932246
263	2908.768143
264	2908.490011
265	2908.383773
266	2908.193493
267	2907.973544
268	2907.891607
269	2907.797477
270	2907.701198
271	2907.449623
272	2907.32219
273	2907.07511
274	2906.966813
275	2906.866454
276	2906.504216
277	2906.386953
278	2906.281818
279	2906.183437
280	2906.053931
281	2905.784673
282	2905.599676
