iter	Passed	Remaining
0	70	70437
1	90	44939
2	109	36346
3	135	33641
4	155	31037
5	180	29968
6	204	29067
7	230	28536
8	248	27383
9	269	26662
10	291	26237
11	315	25966
12	334	25416
13	353	24901
14	374	24571
15	399	24591
16	428	24750
17	452	24700
18	474	24478
19	494	24214
20	516	24061
21	539	23979
22	557	23699
23	575	23390
24	594	23167
25	615	23068
26	643	23176
27	666	23144
28	685	22953
29	708	22893
30	726	22718
31	744	22531
32	762	22357
33	783	22253
34	802	22113
35	820	21974
36	844	21982
37	869	22004
38	890	21935
39	908	21805
40	926	21680
41	947	21606
42	964	21466
43	984	21380
44	1003	21287
45	1020	21160
46	1045	21204
47	1069	21212
48	1092	21195
49	1110	21091
50	1128	21000
51	1148	20941
52	1165	20820
53	1181	20705
54	1202	20657
55	1220	20576
56	1241	20535
57	1274	20705
58	1314	20971
59	1341	21012
60	1362	20974
61	1382	20919
62	1403	20872
63	1424	20837
64	1446	20804
65	1465	20733
66	1485	20687
67	1509	20684
68	1534	20710
69	1553	20639
70	1576	20624
71	1597	20586
72	1617	20545
73	1640	20527
74	1659	20469
75	1680	20428
76	1707	20473
77	1736	20520
78	1764	20572
79	1784	20522
80	1804	20476
81	1823	20417
82	1843	20370
83	1860	20284
84	1880	20244
85	1898	20179
86	1921	20169
87	1944	20150
88	1976	20233
89	2005	20277
90	2029	20275
91	2049	20226
92	2068	20168
93	2088	20131
94	2109	20091
95	2128	20046
96	2186	20356
97	2234	20564
98	2269	20654
99	2305	20749
100	2335	20786
101	2361	20794
102	2397	20879
103	2429	20929
104	2461	20983
105	2490	21004
106	2522	21048
107	2555	21110
108	2587	21154
109	2624	21236
110	2658	21289
111	2691	21337
112	2729	21421
113	2762	21468
114	2798	21539
115	2827	21545
116	2851	21523
117	2881	21540
118	2908	21535
119	2942	21579
120	2966	21550
121	2995	21557
122	3025	21572
123	3046	21521
124	3068	21476
125	3091	21443
126	3110	21381
127	3129	21319
128	3148	21261
129	3169	21213
130	3199	21224
131	3220	21174
132	3240	21121
133	3258	21061
134	3279	21014
135	3299	20961
136	3322	20930
137	3345	20897
138	3365	20846
139	3385	20795
140	3408	20765
141	3431	20732
142	3449	20674
143	3468	20620
144	3488	20571
145	3508	20522
146	3526	20462
147	3546	20418
148	3565	20362
149	3582	20298
150	3604	20267
151	3629	20250
152	3650	20206
153	3668	20152
154	3685	20094
155	3705	20045
156	3725	20003
157	3748	19975
158	3768	19934
159	3788	19891
160	3808	19849
161	3829	19811
162	3855	19796
163	3873	19747
164	3893	19702
165	3911	19650
166	3930	19603
167	3949	19561
168	3970	19524
169	3990	19480
170	4010	19443
171	4040	19452
172	4062	19417
173	4081	19377
174	4098	19321
175	4117	19277
176	4134	19223
177	4153	19178
178	4172	19136
179	4191	19096
180	4211	19056
181	4228	19004
182	4249	18970
183	4276	18964
184	4297	18932
185	4322	18915
186	4341	18874
187	4361	18838
188	4381	18802
189	4400	18758
190	4417	18710
191	4438	18678
192	4462	18657
193	4486	18640
194	4508	18612
195	4528	18578
196	4549	18542
197	4566	18498
198	4583	18448
199	4601	18404
200	4620	18368
201	4641	18335
202	4657	18287
203	4680	18264
204	4702	18238
205	4727	18220
206	4746	18183
207	4766	18148
208	4785	18111
209	4804	18074
210	4822	18033
211	4840	17992
212	4860	17958
213	4878	17919
214	4901	17895
215	4928	17889
216	4949	17860
217	4968	17823
218	4989	17791
219	5010	17763
220	5031	17734
221	5052	17706
222	5069	17663
223	5087	17625
224	5108	17595
225	5137	17594
226	5157	17561
227	5177	17531
228	5198	17502
229	5216	17462
230	5235	17430
231	5255	17395
232	5274	17364
233	5294	17333
234	5311	17292
235	5335	17273
236	5359	17255
237	5382	17231
238	5402	17201
239	5422	17170
240	5440	17134
241	5459	17099
242	5478	17067
243	5496	17029
244	5515	16998
245	5540	16980
246	5564	16963
247	5585	16936
248	5606	16909
249	5626	16879
250	5644	16844
251	5663	16811
252	5683	16780
253	5704	16753
254	5728	16736
255	5756	16729
256	5776	16700
257	5795	16666
258	5811	16627
259	5832	16601
260	5853	16573
261	5873	16545
262	5893	16516
263	5914	16489
264	5935	16462
265	5964	16457
266	6016	16516
267	6047	16516
268	6067	16488
269	6084	16450
270	6101	16412
271	6121	16385
272	6141	16354
273	6165	16336
274	6191	16323
275	6212	16297
276	6232	16268
277	6251	16235
278	6271	16206
279	6290	16175
280	6314	16157
281	6334	16127
282	6357	16106
283	6386	16102
284	6409	16079
285	6428	16049
286	6447	16016
287	6465	15984
288	6485	15956
289	6503	15923
290	6524	15896
291	6543	15864
292	6560	15830
293	6582	15807
294	6605	15786
295	6626	15761
296	6647	15735
297	6667	15706
298	6687	15678
299	6704	15644
300	6725	15617
301	6744	15589
302	6765	15561
303	6788	15541
304	6818	15538
305	6845	15524
306	6872	15513
307	6891	15483
308	6911	15456
309	6930	15425
310	6949	15396
311	6969	15368
312	6993	15349
313	7020	15336
314	7038	15305
315	7057	15276
316	7076	15246
317	7095	15217
318	7113	15185
319	7131	15154
320	7150	15125
321	7171	15099
322	7195	15081
323	7217	15059
324	7238	15034
325	7259	15009
326	7278	14979
327	7297	14950
328	7313	14916
329	7333	14889
330	7353	14861
331	7374	14837
332	7396	14814
333	7424	14803
334	7443	14776
335	7463	14749
336	7483	14721
337	7502	14694
338	7521	14666
339	7541	14639
340	7560	14610
341	7580	14584
342	7602	14561
343	7623	14537
344	7646	14517
345	7666	14490
346	7686	14463
347	7705	14437
348	7724	14408
349	7743	14380
350	7762	14352
351	7782	14327
352	7805	14306
353	7831	14291
354	7848	14260
355	7867	14232
356	7889	14210
357	7909	14183
358	7927	14154
359	7946	14127
360	7965	14099
361	7984	14072
362	8010	14056
363	8037	14043
364	8060	14022
365	8078	13994
366	8098	13967
367	8115	13936
368	8135	13911
369	8154	13885
370	8180	13869
371	8201	13845
372	8224	13825
373	8253	13815
374	8275	13792
375	8297	13769
376	8320	13749
377	8339	13721
378	8359	13697
379	8379	13671
380	8399	13645
381	8417	13617
382	8440	13598
383	8463	13576
384	8485	13555
385	8502	13524
386	8522	13499
387	8539	13469
388	8557	13441
389	8577	13416
390	8596	13389
391	8616	13364
392	8634	13336
393	8657	13315
394	8683	13299
395	8706	13279
396	8756	13300
397	8817	13337
398	8853	13336
399	8877	13315
400	8906	13303
401	8927	13280
402	8947	13255
403	8967	13229
404	8988	13205
405	9004	13174
406	9022	13146
407	9041	13118
408	9061	13093
409	9084	13072
410	9105	13048
411	9131	13032
412	9152	13008
413	9173	12984
414	9193	12959
415	9212	12932
416	9229	12904
417	9250	12880
418	9271	12855
419	9292	12832
420	9311	12806
421	9336	12787
422	9357	12764
423	9377	12739
424	9397	12714
425	9416	12687
426	9434	12660
427	9454	12634
428	9473	12609
429	9493	12584
430	9518	12565
431	9546	12551
432	9566	12527
433	9587	12503
434	9606	12477
435	9625	12451
436	9643	12424
437	9661	12396
438	9681	12371
439	9700	12345
440	9720	12321
441	9745	12303
442	9785	12304
443	9823	12302
444	9852	12287
445	9873	12264
446	9897	12244
447	9916	12218
448	9941	12199
449	9967	12182
450	9990	12161
451	10012	12138
452	10031	12113
453	10050	12087
454	10068	12060
455	10088	12035
456	10105	12007
457	10126	11983
458	10147	11959
459	10168	11937
460	10196	11922
461	10217	11898
462	10237	11873
463	10257	11848
464	10274	11821
465	10294	11796
466	10320	11779
467	10339	11753
468	10362	11732
469	10389	11715
470	10414	11696
471	10434	11672
472	10453	11647
473	10473	11622
474	10493	11597
475	10513	11573
476	10531	11547
477	10550	11521
